rank,rider,rider_no,team,time,gap
1,T. POGACAR,1,UAE TEAM EMIRATES XRG,76h 00' 32'',-
2,J. VINGEGAARD,11,TEAM VISMA | LEASE A BIKE,76h 04' 56'',+ 00h 04' 24''
3,F. LIPOWITZ,72,RED BULL - BORA - HANSGROHE,76h 11' 32'',+ 00h 11' 00''
4,O. ONLEY,191,TEAM PICNIC POSTNL,76h 12' 44'',+ 00h 12' 12''
5,F. GALL,151,DECATHLON AG2R LA MONDIALE TEAM,76h 17' 44'',+ 00h 17' 12''
6,T. JOHANNESSEN,221,UNO-X MOBILITY,76h 20' 46'',+ 00h 20' 14''
7,K. VAUQUELIN,131,ARKEA-B&B HOTELS,76h 23' 07'',+ 00h 22' 35''
8,P. ROGLIC,71,RED BULL - BORA - HANSGROHE,76h 26' 02'',+ 00h 25' 30''
9,B. HEALY,31,EF EDUCATION - EASYPOST,76h 28' 34'',+ 00h 28' 02''
10,J. JEGAT,186,TOTALENERGIES,76h 33' 14'',+ 00h 32' 42''
11,B. O'CONNOR,121,TEAM JAYCO ALULA,76h 35' 06'',+ 00h 34' 34''
12,T. ARENSMAN,62,INEOS GRENADIERS,76h 53' 13'',+ 00h 52' 41''
13,J. NARVAEZ,3,UAE TEAM EMIRATES XRG,77h 05' 08'',+ 01h 04' 36''
14,S. HIGUITA,176,XDS ASTANA TEAM,77h 08' 51'',+ 01h 08' 19''
15,S. YATES,18,TEAM VISMA | LEASE A BIKE,77h 18' 02'',+ 01h 17' 30''
16,G. MARTIN GUYONNET,91,GROUPAMA-FDJ,77h 18' 39'',+ 01h 18' 07''
17,S. KUSS,16,TEAM VISMA | LEASE A BIKE,77h 20' 56'',+ 01h 20' 24''
18,G. MÜHLBERGER,146,MOVISTAR TEAM,77h 28' 49'',+ 01h 28' 17''
19,M. JORGENSON,15,TEAM VISMA | LEASE A BIKE,77h 30' 00'',+ 01h 29' 28''
20,C. RODRIGUEZ,137,ARKEA-B&B HOTELS,77h 36' 47'',+ 01h 36' 15''
21,V. MADOUAS,95,GROUPAMA-FDJ,77h 40' 18'',+ 01h 39' 46''
22,X. MEURISSE,104,ALPECIN-DECEUNINCK,77h 44' 18'',+ 01h 43' 46''
23,W. BARGUIL,192,TEAM PICNIC POSTNL,77h 48' 41'',+ 01h 48' 09''
24,A. YATES,8,UAE TEAM EMIRATES XRG,77h 49' 13'',+ 01h 48' 41''
25,A. PARET PEINTRE,156,DECATHLON AG2R LA MONDIALE TEAM,78h 13' 24'',+ 02h 12' 52''
26,R. GARCIA PIERNA,135,ARKEA-B&B HOTELS,78h 16' 30'',+ 02h 15' 58''
27,A. VLASOV,78,RED BULL - BORA - HANSGROHE,78h 16' 47'',+ 02h 16' 15''
28,V. CAMPENAERTS,14,TEAM VISMA | LEASE A BIKE,78h 21' 08'',+ 02h 20' 36''
29,M. SOLER,6,UAE TEAM EMIRATES XRG,78h 21' 33'',+ 02h 21' 01''
30,E. BUCHMANN,161,COFIDIS,78h 22' 06'',+ 02h 21' 34''
31,E. RUBIO REYES,148,MOVISTAR TEAM,78h 22' 28'',+ 02h 21' 56''
32,I. VAN WILDER,28,SOUDAL QUICK-STEP,78h 23' 46'',+ 02h 23' 14''
33,C. SCOTSON,157,DECATHLON AG2R LA MONDIALE TEAM,78h 26' 12'',+ 02h 25' 40''
34,R. GREGOIRE,94,GROUPAMA-FDJ,78h 26' 30'',+ 02h 25' 58''
35,H. SWEENY,36,EF EDUCATION - EASYPOST,78h 28' 30'',+ 02h 27' 58''
36,C. BERTHET,153,DECATHLON AG2R LA MONDIALE TEAM,78h 33' 22'',+ 02h 32' 50''
37,T. WELLENS,7,UAE TEAM EMIRATES XRG,78h 38' 56'',+ 02h 38' 24''
38,S. VELASCO,178,XDS ASTANA TEAM,78h 42' 03'',+ 02h 41' 31''
39,F. VAN DEN BROEK,198,TEAM PICNIC POSTNL,78h 46' 16'',+ 02h 45' 44''
40,S. BUITRAGO,51,BAHRAIN VICTORIOUS,78h 46' 20'',+ 02h 45' 48''
41,V. PARET PEINTRE,25,SOUDAL QUICK-STEP,78h 47' 37'',+ 02h 47' 05''
42,M. STORER,117,TUDOR PRO CYCLING TEAM,78h 51' 23'',+ 02h 50' 51''
43,C. VENTURINI,138,ARKEA-B&B HOTELS,78h 53' 11'',+ 02h 52' 39''
44,H. TEJADA,171,XDS ASTANA TEAM,78h 55' 06'',+ 02h 54' 34''
45,Q. PACHER,96,GROUPAMA-FDJ,78h 56' 32'',+ 02h 56' 00''
46,A. BAUDIN,34,EF EDUCATION - EASYPOST,78h 56' 47'',+ 02h 56' 15''
47,N. POWLESS,35,EF EDUCATION - EASYPOST,78h 59' 24'',+ 02h 58' 52''
48,J. BLACKMORE,203,ISRAEL - PREMIER TECH,78h 59' 36'',+ 02h 59' 04''
49,P. EENKHOORN,23,SOUDAL QUICK-STEP,79h 00' 57'',+ 03h 00' 25''
50,B. ARMIRAIL,152,DECATHLON AG2R LA MONDIALE TEAM,79h 03' 44'',+ 03h 03' 12''
51,E. COSTIOU,133,ARKEA-B&B HOTELS,79h 07' 07'',+ 03h 06' 35''
52,M. WOODS,201,ISRAEL - PREMIER TECH,79h 07' 31'',+ 03h 06' 59''
53,A. LAURANCE,65,INEOS GRENADIERS,79h 10' 42'',+ 03h 10' 10''
54,T. BENOOT,13,TEAM VISMA | LEASE A BIKE,79h 10' 51'',+ 03h 10' 19''
55,A. DELETTRE,183,TOTALENERGIES,79h 13' 00'',+ 03h 12' 28''
56,J. ALAPHILIPPE,111,TUDOR PRO CYCLING TEAM,79h 13' 52'',+ 03h 13' 20''
57,A. LEKNESSUND,227,UNO-X MOBILITY,79h 15' 16'',+ 03h 14' 44''
58,G. THOMAS,61,INEOS GRENADIERS,79h 15' 29'',+ 03h 14' 57''
59,Q. SIMMONS,84,LIDL-TREK,79h 18' 08'',+ 03h 17' 36''
60,T. GACHIGNARD,184,TOTALENERGIES,79h 23' 46'',+ 03h 23' 14''
